id,created_at,topics,sentiment,urgence,incident,is_claim,favorite_count,retweet_count,reply_count,quote_count,text_clean,lang
1001,2024-07-10 08:15:00 +02:00,"['fibre']",neg,haute,incident_reseau,1,5,2,0,0,"coupure fibre quartier nord","fr"
1002,2024-07-10 09:30:00 +02:00,"['wifi']",neg,moyenne,incident_reseau,1,2,0,0,0,"wifi instable dans mon bureau","fr"
1003,2024-07-11 12:05:00 +02:00,"['mobile']",neu,basse,information,0,8,3,0,0,"free annonce un nouveau forfait mobile","fr"
1004,2024-07-11 13:40:00 +02:00,"['tv']",pos,basse,information,0,15,4,1,0,"super qualite chaine uhd sur freebox","fr"
1005,2024-07-12 07:20:00 +02:00,"['fibre']",neg,haute,processus_sav,1,1,0,0,0,"technicien jamais venu pour activation fibre","fr"
1006,2024-07-12 10:10:00 +02:00,"['mobile']",neg,moyenne,incident_reseau,1,0,0,0,0,"reseau 4g tres lent a lyon","fr"
1007,2024-07-12 18:55:00 +02:00,"['wifi']",neu,basse,autre,0,3,1,0,0,"combien de clients free utilisent le wifi 6","fr"
1008,2024-07-13 08:05:00 +02:00,"['fibre']",neg,haute,incident_reseau,1,4,1,0,0,"plus de debit fibre depuis hier soir","fr"
1009,2024-07-13 09:50:00 +02:00,"['processus']",neg,haute,processus_sav,1,0,0,0,0,"6 appels sav aucune reponse free","fr"
1010,2024-07-13 14:11:00 +02:00,"['mobile']",pos,basse,information,0,22,6,2,1,"merci free pour le roaming inclus","fr"
1011,2024-07-14 11:25:00 +02:00,"['wifi']",neg,moyenne,incident_reseau,1,1,0,0,0,"wifi coupe toutes les dix minutes","fr"
1012,2024-07-14 16:42:00 +02:00,"['tv']",neg,moyenne,incident_reseau,1,5,2,0,0,"oqee bloque sur france2 hdr","fr"
1013,2024-07-14 20:35:00 +02:00,"['mobile']",neu,basse,autre,0,7,1,0,0,"curieux des antennes 5g free en bretagne","fr"
1014,2024-07-15 08:18:00 +02:00,"['fibre']",neg,haute,incident_reseau,1,0,0,0,0,"cable fibre arrache dans cage escalier","fr"
1015,2024-07-15 10:07:00 +02:00,"['wifi']",neg,moyenne,incident_reseau,1,0,0,0,0,"impossible de teletravailler sans wifi","fr"
1016,2024-07-15 13:22:00 +02:00,"['mobile']",pos,basse,information,0,11,5,0,0,"10 ans de revolution mobile bravo free","fr"
1017,2024-07-16 07:50:00 +02:00,"['processus']",neg,moyenne,processus_sav,1,0,0,0,0,"debité pour resiliation jamais demandee","fr"
1018,2024-07-16 09:33:00 +02:00,"['fibre']",neg,haute,incident_reseau,1,2,0,0,0,"attente technicien fibre depuis 3 semaines","fr"
1019,2024-07-16 18:05:00 +02:00,"['wifi']",neg,haute,incident_reseau,1,4,1,0,0,"merci free pour les deconnexions en live","fr"
1020,2024-07-17 08:45:00 +02:00,"['tv']",neu,basse,information,0,6,1,0,0,"free ajoute france3 hdr ca arrive chez vous","fr"
1021,2024-07-17 15:20:00 +02:00,"['mobile']",neg,moyenne,incident_reseau,1,0,0,0,0,"aucun reseau mobile dans le 64","fr"
1022,2024-07-18 09:17:00 +02:00,"['fibre']",neg,haute,incident_reseau,1,0,0,0,0,"depuis un mois toujours pas raccorde","fr"
1023,2024-07-18 11:02:00 +02:00,"['wifi']",neg,moyenne,incident_reseau,1,1,0,0,0,"wifi catastrophique sur freebox pop","fr"
1024,2024-07-18 16:58:00 +02:00,"['tv']",pos,basse,information,0,13,3,0,0,"merci pour les chaines hdr supplementaires","fr"
1025,2024-07-19 07:40:00 +02:00,"['mobile']",neu,basse,autre,0,2,0,0,0,"question sur portabilite chez free","fr"


